date,indicator,value,entity
2020-06-21,Daily hospital occupancy,253,Israel
2020-06-21,Weekly new ICU admissions,14.0,Israel
2020-06-21,Weekly new hospital admissions,203.0,Israel
2020-06-22,Daily hospital occupancy,241,Israel
2020-06-22,Weekly new ICU admissions,12.0,Israel
2020-06-22,Weekly new hospital admissions,203.0,Israel
2020-06-23,Daily hospital occupancy,228,Israel
2020-06-23,Weekly new ICU admissions,10.0,Israel
2020-06-23,Weekly new hospital admissions,203.0,Israel
2020-06-24,Daily hospital occupancy,233,Israel
2020-06-24,Weekly new ICU admissions,8.0,Israel
2020-06-24,Weekly new hospital admissions,214.0,Israel
2020-06-25,Daily hospital occupancy,228,Israel
2020-06-25,Weekly new ICU admissions,7.0,Israel
2020-06-25,Weekly new hospital admissions,203.0,Israel
2020-06-26,Daily hospital occupancy,247,Israel
2020-06-26,Weekly new ICU admissions,6.0,Israel
2020-06-26,Weekly new hospital admissions,220.0,Israel
2020-06-27,Daily hospital occupancy,251,Israel
2020-06-27,Weekly new ICU admissions,6.0,Israel
2020-06-27,Weekly new hospital admissions,214.0,Israel
2020-06-28,Daily hospital occupancy,278,Israel
2020-06-28,Weekly new ICU admissions,8.0,Israel
2020-06-28,Weekly new hospital admissions,223.0,Israel
2020-06-29,Daily hospital occupancy,282,Israel
2020-06-29,Weekly new ICU admissions,8.0,Israel
2020-06-29,Weekly new hospital admissions,246.0,Israel
2020-06-30,Daily hospital occupancy,300,Israel
2020-06-30,Weekly new ICU admissions,8.0,Israel
2020-06-30,Weekly new hospital admissions,277.0,Israel
2020-07-01,Daily hospital occupancy,341,Israel
2020-07-01,Weekly new ICU admissions,10.0,Israel
2020-07-01,Weekly new hospital admissions,325.0,Israel
2020-07-02,Daily hospital occupancy,351,Israel
2020-07-02,Weekly new ICU admissions,15.0,Israel
2020-07-02,Weekly new hospital admissions,363.0,Israel
2020-07-03,Daily hospital occupancy,365,Israel
2020-07-03,Weekly new ICU admissions,18.0,Israel
2020-07-03,Weekly new hospital admissions,373.0,Israel
2020-07-04,Daily hospital occupancy,380,Israel
