date,value,indicator,entity
2022-01-13,1783,Daily hospital occupancy,Bolivia
2022-01-14,1825,Daily hospital occupancy,Bolivia
2022-01-15,1832,Daily hospital occupancy,Bolivia
2022-01-16,1810,Daily hospital occupancy,Bolivia
2022-01-17,1802,Daily hospital occupancy,Bolivia
2022-01-18,1814,Daily hospital occupancy,Bolivia
2022-01-19,1829,Daily hospital occupancy,Bolivia
2022-01-20,1793,Daily hospital occupancy,Bolivia
2022-01-21,1765,Daily hospital occupancy,Bolivia
2022-01-22,1773,Daily hospital occupancy,Bolivia
2022-01-23,1745,Daily hospital occupancy,Bolivia
2022-01-24,1756,Daily hospital occupancy,Bolivia
2022-01-25,1690,Daily hospital occupancy,Bolivia
2022-01-26,1647,Daily hospital occupancy,Bolivia
2022-01-27,1551,Daily hospital occupancy,Bolivia
2022-01-28,1504,Daily hospital occupancy,Bolivia
2022-01-29,1504,Daily hospital occupancy,Bolivia
2022-01-30,1403,Daily hospital occupancy,Bolivia
2022-01-31,1358,Daily hospital occupancy,Bolivia
2022-02-01,1288,Daily hospital occupancy,Bolivia
2022-02-02,1245,Daily hospital occupancy,Bolivia
2022-02-03,1210,Daily hospital occupancy,Bolivia
2022-02-04,1103,Daily hospital occupancy,Bolivia
2022-02-05,1031,Daily hospital occupancy,Bolivia
2022-02-06,993,Daily hospital occupancy,Bolivia
2022-02-07,928,Daily hospital occupancy,Bolivia
2022-02-08,862,Daily hospital occupancy,Bolivia
2022-02-09,818,Daily hospital occupancy,Bolivia
2022-02-10,779,Daily hospital occupancy,Bolivia
2022-02-11,734,Daily hospital occupancy,Bolivia
2022-02-12,700,Daily hospital occupancy,Bolivia
2022-02-13,667,Daily hospital occupancy,Bolivia
2022-02-14,646,Daily hospital occupancy,Bolivia
2022-02-15,598,Daily hospital occupancy,Bolivia
2022-02-16,556,Daily hospital occupancy,Bolivia
2022-02-17,506,Daily hospital occupancy,Bolivia
2022-02-18,484,Daily hospital occupancy,Bolivia
2022-02-19,454,Daily hospital occupancy,Bolivia
2022-02-20,448,Daily hospital occupancy,Bolivia
2022-02-21,450,Daily hospital occupancy,Bolivia
2022-02-22,427,Daily hospital occupancy,Bolivia
