iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,new_tests,total_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
TCD,Africa,Chad,2022-01-28,7075.0,0.0,26.571,190.0,0.0,0.714,418.268,0.0,1.571,11.233,0.0,0.042,0.51,,,,,,,,,,196620.0,11.624,,533.0,0.032,0.05,20.1,tests performed,374952.0,254847.0,120105.0,,,2544.0,2.22,1.51,0.71,,150.0,1417.0,0.008,35.19,16914985.0,11.833,16.7,2.486,1.446,1768.153,38.4,280.995,6.1,,,5.818,,54.24,0.398,,,,
CHL,South America,Chile,2022-01-28,2075703.0,29829.0,20214.143,39620.0,26.0,20.857,108039.969,1552.594,1052.143,2062.214,1.353,1.086,1.76,423.0,22.017,,,152.0,7.912,961.0,50.02,125215.0,29316380.0,1525.912,6.517,99327.0,5.17,0.192,5.2,tests performed,46450064.0,17582132.0,16903297.0,12538683.0,51613.0,67526.0,241.77,91.51,87.98,65.26,3515.0,8164.0,0.042,35.65,19212362.0,24.282,35.4,11.087,6.938,22767.037,1.3,127.993,8.46,34.2,41.5,,2.11,80.18,0.851,39642.4,17.27,17.06,2063.38
CHN,Asia,China,2022-01-28,105934.0,59.0,55.286,4636.0,0.0,0.0,73.351,0.041,0.038,3.21,0.0,0.0,0.81,,,,,,,,,,,,,,,,,,2989480000.0,1265034000.0,1224450000.0,,5425000.0,4751714.0,207.0,87.59,84.78,,3290.0,191857.0,0.013,79.17,1444216102.0,147.674,38.7,10.641,5.929,15308.712,0.7,261.899,9.74,1.9,48.4,,4.34,76.91,0.761,,,,
COL,South America,Colombia,2022-01-28,5837408.0,20946.0,21620.429,133560.0,268.0,248.0,113865.449,408.576,421.732,2605.244,5.228,4.838,0.97,,,,,,,,,66437.0,31882163.0,621.899,1.296,70574.0,1.377,0.416,2.4,tests performed,70595963.0,39949419.0,31062511.0,5263357.0,245216.0,245006.0,137.71,77.93,60.59,10.27,4779.0,68321.0,0.133,53.7,51265841.0,44.223,32.2,7.646,4.312,13254.949,4.5,124.24,7.44,4.7,13.5,65.386,1.71,77.29,0.767,,,,
COM,Africa,Comoros,2022-01-28,7827.0,3.0,4.857,159.0,0.0,0.0,8809.665,3.377,5.467,178.962,0.0,0.0,0.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,888456.0,437.352,20.4,2.963,1.726,1413.89,18.1,261.516,11.88,4.4,23.6,15.574,2.2,64.32,0.554,,,,
COG,Africa,Congo,2022-01-28,23653.0,168.0,58.429,371.0,0.0,0.0,4181.179,29.698,10.329,65.582,0.0,0.0,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5657017.0,15.405,19.0,3.402,2.063,4881.406,37.0,344.094,7.2,1.7,52.3,47.964,,64.57,0.574,,,,
COK,Oceania,Cook Islands,2022-01-28,2.0,0.0,0.0,,,,113.817,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,25601.0,12971.0,12630.0,,,4.0,145.69,73.82,71.88,,228.0,2.0,0.011,,17572.0,,,,,,,,,,,,,76.25,,,,,
CRI,North America,Costa Rica,2022-01-28,682480.0,7302.0,5569.143,7533.0,12.0,11.714,132802.678,1420.884,1083.69,1465.834,2.335,2.279,1.48,,,,,,,,,11691.0,2498483.0,486.176,2.275,11669.0,2.271,0.399,2.5,people tested,8234302.0,4028723.0,3654209.0,551370.0,,11140.0,160.23,78.39,71.11,10.73,2168.0,3908.0,0.076,46.3,5139053.0,96.079,33.6,9.468,5.694,15524.995,1.3,137.973,8.78,6.4,17.4,83.841,1.13,80.28,0.81,,,,
CIV,Africa,Cote d'Ivoire,2022-01-28,80566.0,79.0,107.429,782.0,0.0,1.571,2978.011,2.92,3.971,28.906,0.0,0.058,0.62,,,,,,,,,1388.0,1344834.0,49.71,0.051,2333.0,0.086,0.057,17.6,tests performed,7482020.0,5166682.0,2315338.0,,,10956.0,27.66,19.1,8.56,,405.0,7832.0,0.029,15.74,27053629.0,76.399,18.7,2.933,1.582,3601.006,28.2,303.74,2.42,,,19.351,,57.78,0.538,,,,
HRV,Europe,Croatia,2022-01-28,919598.0,9924.0,8619.143,13690.0,65.0,50.714,225300.166,2431.365,2111.677,3354.03,15.925,12.425,1.15,,,,,,,,,19161.0,4195015.0,1027.773,4.694,17219.0,4.219,0.506,2.0,people tested,5071377.0,2291578.0,2201139.0,,9653.0,9271.0,124.25,56.14,53.93,,2271.0,965.0,0.024,40.74,4081657.0,73.726,44.0,19.724,13.053,22669.797,0.7,253.782,5.59,34.3,39.9,,5.54,78.49,0.851,,,,
CUB,North America,Cuba,2022-01-28,1036783.0,2799.0,3082.857,8388.0,5.0,5.0,91608.852,247.316,272.397,741.153,0.442,0.442,1.15,,,,,,,,,,,,,,,,,,33866971.0,10558532.0,9811501.0,4876009.0,91343.0,103026.0,299.24,93.29,86.69,43.08,9103.0,3315.0,0.029,26.85,11317498.0,110.408,43.1,14.738,9.719,,,190.968,8.27,17.1,53.3,85.198,5.2,78.8,0.783,,,,
